"SurfArea" "Volume" "MajAxis" "MinAxis" "Ecc" "ConvVol" "EqDiam" "Round" "Type"
37548.5 754.42 318.34 154.25 0.88 37506.4 219.63 0.8 "carbonaceous"
56128.43 944.78 358.88 204.5 0.85 57727.79 267.31 0.83 "silicate"
34315.96 734.69 291.27 153.15 0.87 35380.89 216.18 0.82 "carbonaceous"
54856.78 904 347.26 210.48 0.8 57818.23 266.79 0.88 "silicate"
44699.72 806.31 285.36 201.6 0.69 45738.12 240.57 0.85 "metallic"
58037.49 932.08 357.19 214.57 0.8 60374.71 273.45 0.85 "silicate"
57098.27 911.79 347.18 214.12 0.8 57889.13 270.21 0.88 "silicate"
49247.97 905.89 327.12 193.99 0.79 51755.51 249.19 0.75 "metallic"
32827.96 705.65 275.86 155 0.85 34264.25 206.8 0.83 "carbonaceous"
51942.19 872.49 312.47 209.29 0.75 52231.4 257.54 0.78 "metallic"
59068.31 922.78 355.89 213.15 0.81 60588.63 273.83 0.85 "silicate"
45731.86 812.74 297.27 197.98 0.73 45902.86 237.98 0.88 "metallic"
50289.59 868.51 312.44 205.24 0.76 51060.52 256.65 0.82 "metallic"
48216.82 836.42 276.27 220.59 0.62 47924.82 247.43 0.87 "metallic"
58740.12 969.9 372.81 200.82 0.85 60387.45 272.98 0.8 "silicate"
47890.35 863.37 285.61 217.28 0.67 49081.62 247.98 0.83 "metallic"
48895.23 892.7 317.02 202.55 0.77 49837.36 245.53 0.77 "metallic"
57321.91 922.28 351.66 204.84 0.81 56732.62 267.53 0.84 "silicate"
35690.34 733.22 287.54 155.57 0.86 36702.24 214.52 0.82 "carbonaceous"
37409.61 764.71 314.79 152.1 0.86 38577.37 219.71 0.82 "carbonaceous"
55513.42 914.09 347.44 206.45 0.81 56928.23 266.87 0.84 "silicate"
50386.46 864.65 319.18 205.09 0.76 51316.08 253.85 0.83 "metallic"
38123.07 746.66 305.3 161 0.84 38849.19 221.61 0.83 "carbonaceous"
54999.89 936.35 344.99 208.41 0.81 55523.6 263.46 0.84 "silicate"
35165.34 720.35 263.68 167.66 0.75 36294.29 212.58 0.85 "carbonaceous"
56294.53 902.35 347.47 208.83 0.83 55822.23 262.44 0.84 "silicate"
46554.38 846.5 298.25 204.73 0.73 48673.71 248.57 0.84 "metallic"
46513.49 809.23 289.02 205.09 0.73 46809.94 245.87 0.86 "metallic"
37684.8 732.35 282.34 168.3 0.8 38477.42 218.94 0.87 "carbonaceous"
37595.47 785.95 300.06 167.37 0.82 38819.7 221.39 0.74 "carbonaceous"
35049.87 724.42 282.06 153.84 0.84 34747.95 210.13 0.84 "carbonaceous"
33894.79 716.95 285.12 153.78 0.86 34180.08 206.7 0.84 "carbonaceous"
51888.04 854.92 309.49 215.55 0.72 52173.5 256.95 0.89 "silicate"
42315.38 764.89 285.17 187.79 0.77 41875.39 230.91 0.89 "metallic"
37513.7 857.03 313.35 156.58 0.85 38736.39 223.31 0.63 "carbonaceous"
59337.3 933.13 371.35 208.37 0.83 59867.31 279.1 0.82 "silicate"
33741.51 703.26 273.25 156.48 0.82 34564.9 204.57 0.82 "carbonaceous"
50577.9 892.78 307.65 207.6 0.73 52061.12 252.92 0.8 "metallic"
35874.33 762.63 307.08 148.16 0.88 36645.05 213.05 0.79 "carbonaceous"
36057.17 741.72 277.02 164.06 0.81 36521.19 214.41 0.8 "carbonaceous"
59642.72 943.45 372.94 207.16 0.83 60921.3 273.58 0.83 "silicate"
58178.41 924.98 347.76 212.21 0.8 58954.59 273.26 0.85 "silicate"
48858.92 817.97 297.63 207.19 0.74 48631.43 244.45 0.93 "metallic"
35074.29 704.08 271.81 162.81 0.81 35300.32 210.51 0.9 "carbonaceous"
37314.86 736.49 299.57 161.61 0.87 38046.4 220.92 0.83 "carbonaceous"
56916.78 905.92 349.58 212.41 0.78 57507.93 267.72 0.87 "silicate"
45547.88 803.16 297.39 198.89 0.76 45600.38 242.53 0.9 "silicate"
42706.28 814.9 273.24 205.03 0.7 44041.73 235.22 0.84 "metallic"
47287.97 822.48 295.37 197.24 0.75 46740.39 243.21 0.87 "metallic"
47812.79 824.99 315.33 196.33 0.77 49327.18 245 0.89 "silicate"
36632.67 738.24 303.85 154.06 0.86 36291.39 217.03 0.83 "carbonaceous"
49378.05 898.48 308.31 200 0.75 50010.73 247.92 0.77 "metallic"
50201.79 885.72 355.97 178.47 0.85 51296.77 256.52 0.78 "silicate"
58978.48 945 373.11 205.45 0.83 60425.96 275.27 0.81 "silicate"
45121.25 850.87 294.8 193.3 0.75 45303.51 236.99 0.78 "metallic"
49602.43 855.13 288.58 213.58 0.66 51020.5 253.11 0.85 "metallic"
49049.99 867.02 298.16 209.73 0.7 50504.77 251.1 0.84 "metallic"
37299.95 746.94 300.19 160.76 0.85 38139.34 218.77 0.86 "carbonaceous"
47825.3 876.32 307.39 204.79 0.74 49194.31 244.51 0.78 "metallic"
