"id_storage_centre" "rad_less_15_city" "size" "time" "growth" "costs" "costs0"
"1" 1 292.416666158325 1 0 489.414906522035 66
"2" 1 305.483781581735 1 0 514.699454693592 65
"3" 0 373.344296037205 1 0 605.603641781467 168
"4" 0 192.361191812285 1 1 185.062882950841 46
"5" 1 328.257465495052 1 -1 560.317163001782 110
"6" 0 265.747594403687 1 -1 298.686577478056 100
"7" 0 348.91041021139 1 1 499.275150553956 44
"8" 1 297.794041941013 1 1 529.894913233047 54
"9" 1 288.06631739684 1 0 491.195151482214 79
"10" 1 370.974669304845 1 1 724.458009842563 113
"11" 1 317.277788361105 1 -1 495.079321726917 56
"12" 1 367.737630721268 1 0 585.949664164708 -3
"13" 1 237.377820902857 1 -1 349.360350851294 75
"14" 1 221.474572502476 1 1 394.150452862163 75
"15" 0 331.113927673265 1 1 530.452325653752 132
"16" 1 306.976974480087 1 1 601.951795840355 126
"17" 1 186.650861246533 1 0 237.173450306126 16
"18" 0 161.491936626614 1 -1 25.500824732098 19
"19" 0 316.68372521488 1 0 453.787136477477 117
"20" 0 362.210633925436 1 -1 510.813516878535 122
"21" 0 260.931731070491 1 0 331.285115693938 106
"22" 1 192.256225510262 1 0 295.5541991233 75
"23" 0 335.923033131369 1 -1 427.028612483484 79
"24" 1 239.697814279835 1 0 393.981494455232 74
"25" 0 368.065765437526 1 0 554.515303014672 115
"26" 1 396.31781743081 1 0 743.650266680821 129
"27" 1 321.585434851972 1 0 533.609141822697 48
"28" 0 295.385091721982 1 -1 352.716703640597 98
"29" 1 277.48270891484 1 0 489.18287771194 104
"30" 0 384.60594066565 1 -1 543.071551289903 107
"31" 1 275.709885919596 1 0 485.515983273541 100
"32" 1 328.551466216193 1 0 581.466141346347 91
"33" 1 271.092079295561 1 0 469.264352010544 93
"34" 1 387.789050175635 1 0 739.246267017305 143
"35" 0 295.456828874688 1 0 397.064327519448 102
"36" 0 337.452318018812 1 0 488.810139787591 106
"37" 1 357.03825659488 1 0 655.211973389572 109
"38" 1 163.467295512562 1 -1 174.13468489327 39
"39" 0 305.272420787623 1 1 502.206784954228 160
"40" 1 209.917936219941 1 1 324.914857621933 21
"1" 1 292.416666158325 2 0 508.946862857766 66
"2" 1 305.483781581735 2 0 537.086232130088 65
"3" 0 373.344296037205 2 0 637.045355781939 168
"4" 0 192.361191812285 2 1 252.975707727319 46
"5" 1 328.257465495052 2 -1 552.519360810464 110
"6" 0 265.747594403687 2 -1 287.054979660472 100
"7" 0 348.91041021139 2 1 562.881863731126 44
"8" 1 297.794041941013 2 1 589.791241600757 54
"9" 1 288.06631739684 2 0 515.240771894459 79
"10" 1 370.974669304845 2 1 788.983876060037 113
"11" 1 317.277788361105 2 -1 477.974825003605 56
"12" 1 367.737630721268 2 0 613.553140184872 -3
"13" 1 237.377820902857 2 -1 342.30844922752 75
"14" 1 221.474572502476 2 1 454.227907091188 75
"15" 0 331.113927673265 2 1 590.710267846185 132
"16" 1 306.976974480087 2 1 670.857479820074 126
"17" 1 186.650861246533 2 0 269.725722245406 16
"18" 0 161.491936626614 2 -1 15.7801650571566 19
"19" 0 316.68372521488 2 0 472.951945583004 117
"20" 0 362.210633925436 2 -1 497.985139009016 122
"21" 0 260.931731070491 2 0 360.508652784436 106
"22" 1 192.256225510262 2 0 324.284612050895 75
"23" 0 335.923033131369 2 -1 418.294718240457 79
"24" 1 239.697814279835 2 0 421.420457283366 74
"25" 0 368.065765437526 2 0 575.279798626728 115
"26" 1 396.31781743081 2 0 774.573610920071 129
"27" 1 321.585434851972 2 0 560.126680536693 48
"28" 0 295.385091721982 2 -1 344.611523429587 98
"29" 1 277.48270891484 2 0 522.420504728263 104
"30" 0 384.60594066565 2 -1 533.924898623653 107
"31" 1 275.709885919596 2 0 513.505172961146 100
"32" 1 328.551466216193 2 0 608.219764019155 91
"33" 1 271.092079295561 2 0 493.352753301375 93
"34" 1 387.789050175635 2 0 768.954306517798 143
"35" 0 295.456828874688 2 0 422.991421481646 102
"36" 0 337.452318018812 2 0 506.890597555863 106
"37" 1 357.03825659488 2 0 682.148143029914 109
"38" 1 163.467295512562 2 -1 161.498775081037 39
"39" 0 305.272420787623 2 1 565.733464391488 160
"40" 1 209.917936219941 2 1 388.272898405492 21
"1" 1 292.416666158325 3 0 540.607636771866 66
"2" 1 305.483781581735 3 0 571.264794507598 65
"3" 0 373.344296037205 3 0 654.481800642238 168
"4" 0 192.361191812285 3 1 317.643124432521 46
"5" 1 328.257465495052 3 -1 522.400755152541 110
"6" 0 265.747594403687 3 -1 277.539108393542 100
"7" 0 348.91041021139 3 1 623.53603641394 44
"8" 1 297.794041941013 3 1 663.890680457418 54
"9" 1 288.06631739684 3 0 539.762070946353 79
"10" 1 370.974669304845 3 1 845.354311321111 113
"11" 1 317.277788361105 3 -1 470.019895401517 56
"12" 1 367.737630721268 3 0 638.075550978257 -3
"13" 1 237.377820902857 3 -1 321.215361311911 75
"14" 1 221.474572502476 3 1 517.854301647721 75
"15" 0 331.113927673265 3 1 657.519877002078 132
"16" 1 306.976974480087 3 1 730.09866441049 126
"17" 1 186.650861246533 3 0 282.609555493613 16
"18" 0 161.491936626614 3 -1 4.21066580923011 19
"19" 0 316.68372521488 3 0 497.561586389654 117
"20" 0 362.210633925436 3 -1 494.233513768431 122
"21" 0 260.931731070491 3 0 384.604056700625 106
"22" 1 192.256225510262 3 0 354.780067277486 75
"23" 0 335.923033131369 3 -1 401.113161661669 79
"24" 1 239.697814279835 3 0 441.874148061801 74
"25" 0 368.065765437526 3 0 602.407709982483 115
"26" 1 396.31781743081 3 0 803.101204032823 129
"27" 1 321.585434851972 3 0 589.110766867162 48
"28" 0 295.385091721982 3 -1 335.011509311461 98
"29" 1 277.48270891484 3 0 547.23574244794 104
"30" 0 384.60594066565 3 -1 523.044236550428 107
"31" 1 275.709885919596 3 0 532.478387428703 100
"32" 1 328.551466216193 3 0 626.289829245393 91
"33" 1 271.092079295561 3 0 513.75586352063 93
"34" 1 387.789050175635 3 0 788.700605254252 143
"35" 0 295.456828874688 3 0 439.16812371222 102
"36" 0 337.452318018812 3 0 541.691674689553 106
"37" 1 357.03825659488 3 0 705.614868454925 109
"38" 1 163.467295512562 3 -1 155.007886498944 39
"39" 0 305.272420787623 3 1 628.810525891791 160
"40" 1 209.917936219941 3 1 462.288975154941 21
"1" 1 292.416666158325 4 0 572.823587858695 66
"2" 1 305.483781581735 4 0 596.019647743702 65
"3" 0 373.344296037205 4 0 692.705109398873 168
"4" 0 192.361191812285 4 1 374.938892808805 46
"5" 1 328.257465495052 4 -1 519.989266229402 110
"6" 0 265.747594403687 4 -1 263.504316441398 100
"7" 0 348.91041021139 4 1 686.02777943502 44
"8" 1 297.794041941013 4 1 718.908647818503 54
"9" 1 288.06631739684 4 0 582.113883727414 79
"10" 1 370.974669304845 4 1 918.297063925676 113
"11" 1 317.277788361105 4 -1 455.153085122848 56
"12" 1 367.737630721268 4 0 660.704064303488 -3
"13" 1 237.377820902857 4 -1 307.657617018195 75
"14" 1 221.474572502476 4 1 603.722599851905 75
"15" 0 331.113927673265 4 1 726.970068198854 132
"16" 1 306.976974480087 4 1 798.854663882383 126
"17" 1 186.650861246533 4 0 318.295472894634 16
"18" 0 161.491936626614 4 -1 -10.233298134898 19
"19" 0 316.68372521488 4 0 522.789465209197 117
"20" 0 362.210633925436 4 -1 476.102241512208 122
"21" 0 260.931731070491 4 0 412.674171214704 106
"22" 1 192.256225510262 4 0 370.150327010279 75
"23" 0 335.923033131369 4 -1 386.161810085616 79
"24" 1 239.697814279835 4 0 469.74729479669 74
"25" 0 368.065765437526 4 0 638.88584173345 115
"26" 1 396.31781743081 4 0 824.33041458947 129
"27" 1 321.585434851972 4 0 607.073174360177 48
"28" 0 295.385091721982 4 -1 323.68250095953 98
"29" 1 277.48270891484 4 0 562.065734404256 104
"30" 0 384.60594066565 4 -1 518.129285618871 107
"31" 1 275.709885919596 4 0 563.784835108827 100
"32" 1 328.551466216193 4 0 652.523611712068 91
"33" 1 271.092079295561 4 0 545.406188373941 93
"34" 1 387.789050175635 4 0 818.593809811081 143
"35" 0 295.456828874688 4 0 481.434313773589 102
"36" 0 337.452318018812 4 0 577.095385094513 106
"37" 1 357.03825659488 4 0 727.682277941357 109
"38" 1 163.467295512562 4 -1 133.643352766641 39
"39" 0 305.272420787623 4 1 688.692476868112 160
"40" 1 209.917936219941 4 1 512.240607847674 21
"1" 1 292.416666158325 5 0 593.632668455649 66
"2" 1 305.483781581735 5 0 629.952866159286 65
"3" 0 373.344296037205 5 0 713.159041093957 168
"4" 0 192.361191812285 5 1 440.769938630138 46
"5" 1 328.257465495052 5 -1 518.337837348738 110
"6" 0 265.747594403687 5 -1 263.522518156814 100
"7" 0 348.91041021139 5 1 743.717846774776 44
"8" 1 297.794041941013 5 1 794.008090558914 54
"9" 1 288.06631739684 5 0 592.625334132926 79
"10" 1 370.974669304845 5 1 979.265129640721 113
"11" 1 317.277788361105 5 -1 457.4242612495 56
"12" 1 367.737630721268 5 0 690.424890207608 -3
"13" 1 237.377820902857 5 -1 302.27220291689 75
"14" 1 221.474572502476 5 1 656.005842399831 75
"15" 0 331.113927673265 5 1 787.554655220915 132
"16" 1 306.976974480087 5 1 858.847829074353 126
"17" 1 186.650861246533 5 0 337.801903096614 16
"18" 0 161.491936626614 5 -1 -26.8127818512373 19
"19" 0 316.68372521488 5 0 554.274325882509 117
"20" 0 362.210633925436 5 -1 463.890038908655 122
"21" 0 260.931731070491 5 0 419.956758396291 106
"22" 1 192.256225510262 5 0 411.055704705616 75
"23" 0 335.923033131369 5 -1 363.915778085512 79
"24" 1 239.697814279835 5 0 495.673745636356 74
"25" 0 368.065765437526 5 0 648.855986169551 115
"26" 1 396.31781743081 5 0 840.735818539288 129
"27" 1 321.585434851972 5 0 637.016322161698 48
"28" 0 295.385091721982 5 -1 316.13422955138 98
"29" 1 277.48270891484 5 0 580.766544939269 104
"30" 0 384.60594066565 5 -1 484.016456195668 107
"31" 1 275.709885919596 5 0 587.828714055668 100
"32" 1 328.551466216193 5 0 681.579640797539 91
"33" 1 271.092079295561 5 0 583.391728675402 93
"34" 1 387.789050175635 5 0 845.250016891158 143
"35" 0 295.456828874688 5 0 500.146409594994 102
"36" 0 337.452318018812 5 0 578.67904799006 106
